      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1590e-sam-hayyim.psd:D das
      7 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1600e-magid-preface.psd:D das
     15 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1620e-lev-tov-1-preface.psd:D das
     65 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1620e-lev-tov-1.psd:D das
      3 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1648w-kine.psd:D das
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1666w-messiah.psd:D das
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1671e-vaad.psd:D das
     10 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1675e-ashkenaz-un-polak.psd:D das
      8 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1692e-vilna.psd:D das
     71 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1697e-purim.psd:D das
      2 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1704e-ellush.psd:D das
      5 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1705w-glikl.psd:D das
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1712e-sarah.psd:D das
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1716e-duties.psd:D das
      5 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1717e-poznan.psd:D das
      3 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1743e-teshuat-preface.psd:D das
      3 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1750w-moses.psd:D das
      6 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1783e-ukraine-1.psd:D das
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1792w-historie.psd:D das
     43 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1818e-geografie.psd:D das
      8 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1819e-perl.psd:D das
      9 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1834e-elmale.psd:D das
     23 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1834e-ukraine-2.psd:D das
      4 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1929e-dubnov-vaad.psd:D das
      1 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1959e-niger-sarah.psd:D das
     63 /home/paulez/yiddishsoftware/penn-parsed-corpus-of-historical-yiddish/data/1xxxx-court-testimony.psd:D das
